"STATE","STATE_NAME","state_pop","state_pop_urban","state_pop_rural","STATEFP","STUSPS","electricity_pop_pct_rural","electricity_pop_pct_urban","utilitygas_pop_pct_rural","utilitygas_pop_pct_urban","wood_pop_pct_rural","wood_pop_pct_urban","bottledgas_pop_pct_rural","bottledgas_pop_pct_urban","fueloil_pop_pct_rural","fueloil_pop_pct_urban","state_fp_2_digit","hh_hp_savings_electricity","hh_hp_savings_utilitygas","hh_hp_savings_wood","hh_hp_savings_lpgas","hh_hp_savings_fueloil","hh_hp_savings_electricity_urban","hh_hp_savings_utilitygas_urban","hh_hp_savings_wood_urban","hh_hp_savings_lpgas_urban","hh_hp_savings_fueloil_urban","hh_hp_savings_electricity_rural","hh_hp_savings_utilitygas_rural","hh_hp_savings_wood_rural","hh_hp_savings_lpgas_rural","hh_hp_savings_fueloil_rural"
"38","North Dakota",779094,474989,304105,38,"ND",56.9065664100575,53.5454403903047,21.1523542400191,46.4545596096953,NA,NA,21.9410793499234,NA,NA,NA,"38",1447.07963651933,-763.940165604488,NA,94.1443628679017,NA,1430.55059014581,-759.855576654639,NA,NA,NA,1477.7016643846,-771.270902112812,NA,94.1443628679017,NA
"39","Ohio",11799448,9001099,2798349,39,"OH",24.9300978180437,3.43787678386999,73.4967655049611,96.56212321613,NA,NA,1.57313667699521,NA,NA,NA,"39",1098.8771620617,117.844581405323,NA,1098.8759,NA,1047.43098817547,124.71459377199,NA,1098.8759,NA,1134.04793821124,88.5734497314242,NA,1098.8759,NA
"40","Oklahoma",3959353,2558611,1400742,40,"OK",56.7144476745846,8.44102980587081,43.2855523254154,91.5589701941292,NA,NA,NA,NA,NA,NA,"40",795.615957779033,78.4087857113458,NA,NA,NA,805.961956776859,79.7994599643922,NA,NA,NA,790.833083258482,73.828420682788,NA,NA,NA
"41","Oregon",4237256,3410984,826272,41,"OR",90.608861262356,51.0450349771426,NA,48.9549650228574,9.39113873764401,NA,NA,NA,NA,NA,"41",2481.17192754414,-41.9514402552986,-4.43900363810945,NA,NA,2474.47748001412,-42.7867835141827,NA,NA,NA,2496.98537861953,-33.6959827410711,-4.43900363810945,NA,NA
"42","Pennsylvania",13002700,9941070,3061630,42,"PA",18.5762316827684,16.4787985073511,49.5008362892812,79.8254952424131,NA,NA,NA,NA,31.9229320279504,3.69570625023576,"42",1299.68332747074,151.501443200015,NA,NA,1050.602940638,1291.91245099849,156.107263994188,NA,NA,1022.78263841618,1317.72583276093,131.528965160144,NA,NA,1067.6022764982
"44","Rhode Island",1097379,999191,98188,44,"RI",NA,NA,NA,80.3639398967904,NA,NA,NA,NA,NA,19.6360601032096,"44",NA,-206.859625111791,NA,NA,-24.7398930605961,NA,-206.855723797301,NA,NA,-31.2596700141545,NA,-206.935693588129,NA,NA,-3.63202022524272
"45","South Carolina",5118425,3477869,1640556,45,"SC",100,97.6912887363042,NA,2.30871126369577,NA,NA,NA,NA,NA,NA,"45",863.030242264901,206.1133,NA,NA,NA,858.106452744083,206.1133,NA,NA,NA,873.628450286725,206.1133,NA,NA,NA
"46","South Dakota",886667,507347,379320,46,"SD",33.4401816555205,NA,22.1894143936324,100,NA,NA,44.3704039508471,NA,NA,NA,"46",1622.33715807048,-677.009237080632,NA,147.485153925785,NA,NA,-681.795901101877,NA,NA,NA,1622.33715807048,-664.124411297978,NA,147.485153925785,NA
"47","Tennessee",6910840,4577282,2333558,47,"TN",87.4229594972677,73.5576973875989,12.5770405027323,26.4423026124011,NA,NA,NA,NA,NA,NA,"47",992.799762854472,39.6288260771345,NA,NA,NA,992.482591651854,45.4960721148306,NA,NA,NA,993.316348592608,16.5921465649434,NA,NA,NA
"48","Texas",29145505,24400697,4744808,48,"TX",96.1849221112204,90.2827438897518,3.6258166010971,9.71725611024824,NA,NA,0.189261287682466,NA,NA,NA,"48",717.566638920633,153.907086724758,NA,540.709946658139,NA,718.979307374448,149.954661448308,NA,NA,NA,710.837915251451,179.327218881835,NA,540.709946658139,NA
"49","Utah",3271616,2937303,334313,49,"UT",10.4100191993659,NA,79.0316960350918,100,9.91944465321572,NA,0.63884011232654,NA,NA,NA,"49",1805.35258102477,-35.7245115098394,201.8051,1190.2196,NA,NA,-30.9641150298258,NA,NA,NA,1805.35258102477,-74.6929814652448,201.8051,1190.2196,NA
"50","Vermont",643077,225850,417227,50,"VT",NA,NA,NA,100,NA,NA,NA,NA,100,NA,"50",NA,-593.8275,NA,NA,-468.610915584555,NA,-593.8275,NA,NA,-478.561610773397,NA,-593.8275,NA,NA,-466.285577922078
"51","Virginia",8631393,6528313,2103080,51,"VA",100,56.494148214587,NA,43.505851785413,NA,NA,NA,NA,NA,NA,"51",2213.39672457829,-370.538179099109,NA,NA,NA,2122.21797471209,-368.539817059903,NA,NA,NA,2368.02756647177,-435.677821627331,NA,NA,NA
"53","Washington",7705281,6424035,1281246,53,"WA",98.14732603758,90.5553154270501,NA,9.44468457294986,1.85267396241999,NA,NA,NA,NA,NA,"53",1256.72953447508,257.216152716557,275.4123,NA,NA,1248.98726078163,259.157020349802,NA,NA,NA,1293.6864166761,248.435986144521,275.4123,NA,NA
"54","West Virginia",1793716,800857,992859,54,"WV",71.1249374947912,39.7864064419271,27.0504312859405,60.2135935580729,1.82463121926827,NA,NA,NA,NA,NA,"54",1321.64141492862,-22.3807551501887,-155.1671170347,NA,NA,1309.90878825279,-29.0602847767859,NA,NA,NA,1328.59707900093,-13.9416970482013,-155.1671170347,NA,NA
"55","Wisconsin",5893718,3953691,1940027,55,"WI",NA,NA,80.9672065758277,100,NA,NA,19.0327934241723,NA,NA,NA,"55",NA,-782.967591854832,NA,-156.020459357052,NA,NA,-779.189690960212,NA,24.0138201833484,NA,NA,-791.302129064303,NA,-162.971775383267,NA
"56","Wyoming",576851,357750,219101,56,"WY",29.4203951788726,NA,65.6563232733206,100,NA,NA,4.92328154780677,NA,NA,NA,"56",1491.62304691048,-264.524097511538,NA,729.8787,NA,1209.1869,-267.127159899749,NA,NA,NA,1569.8835125281,-259.687280108973,NA,729.8787,NA
